# | Player | Nation | Position | OVR | PAC | SHO | PAS | DRI | PHY | League/Region | Status
1 | Cristiano Ronaldo | Portugal | ST | 75 | 78 | 91 | 79 | 82 | 78 | Saudi Pro League | Icon/Active
2 | Lionel Messi | Argentina | RW | 75 | 72 | 89 | 94 | 96 | 65 | MLS | Icon/Active
3 | Neymar | Brazil | LW | 74 | 80 | 84 | 90 | 94 | 62 | Brazil | Icon/Active
4 | Luis Suárez | Uruguay | ST | 74 | 67 | 91 | 82 | 84 | 78 | MLS | Icon/Active
5 | Robert Lewandowski | Poland | ST | 74 | 69 | 94 | 82 | 83 | 84 | MLS | Veteran
6 | Karim Benzema | France | ST | 73 | 65 | 89 | 84 | 84 | 76 | Saudi Pro League | Veteran
7 | Antoine Griezmann | France | CF | 73 | 76 | 84 | 88 | 88 | 70 | MLS | Veteran
8 | Edinson Cavani | Uruguay | ST | 72 | 65 | 88 | 75 | 74 | 82 | Legacy | Icon
9 | Gonzalo Higuaín | Argentina | ST | 71 | 64 | 88 | 72 | 76 | 79 | Legacy | Icon
10 | Sergio Agüero | Argentina | ST | 71 | 75 | 91 | 77 | 86 | 72 | Legacy | Icon
11 | Zlatan Ibrahimović | Sweden | ST | 75 | 65 | 94 | 84 | 89 | 88 | Legacy | Icon
12 | Wayne Rooney | England | CF | 74 | 83 | 90 | 87 | 87 | 84 | Legacy | Icon
13 | Thierry Henry | France | ST | 75 | 94 | 93 | 88 | 93 | 78 | Legacy | Icon
14 | Didier Drogba | Ivory Coast | ST | 74 | 79 | 92 | 76 | 78 | 94 | Legacy | Icon
15 | Samuel Eto'o | Cameroon | ST | 74 | 95 | 93 | 75 | 89 | 78 | Legacy | Icon
16 | David Villa | Spain | ST | 73 | 88 | 91 | 82 | 88 | 72 | Legacy | Icon
17 | Fernando Torres | Spain | ST | 73 | 93 | 88 | 75 | 86 | 74 | Legacy | Icon
18 | Raúl | Spain | CF | 73 | 81 | 87 | 83 | 86 | 70 | Legacy | Icon
19 | Francesco Totti | Italy | CF | 73 | 70 | 89 | 94 | 91 | 68 | Legacy | Icon
20 | Alessandro Del Piero | Italy | CF | 74 | 82 | 91 | 88 | 94 | 66 | Legacy | Icon
21 | Filippo Inzaghi | Italy | ST | 71 | 82 | 91 | 65 | 74 | 65 | Legacy | Icon
22 | Ronaldo Nazário | Brazil | ST | 75 | 97 | 95 | 82 | 97 | 85 | Legacy | Icon
23 | Romário | Brazil | ST | 74 | 92 | 96 | 75 | 95 | 68 | Legacy | Icon
24 | Rivaldo | Brazil | CF | 73 | 84 | 91 | 90 | 91 | 78 | Legacy | Icon
25 | Kaká | Brazil | CAM | 73 | 91 | 87 | 91 | 93 | 74 | Legacy | Icon
26 | Ronaldinho | Brazil | LW | 75 | 92 | 86 | 94 | 97 | 70 | Legacy | Icon
27 | George Weah | Liberia | ST | 73 | 94 | 89 | 74 | 87 | 91 | Legacy | Icon
28 | Michael Owen | England | ST | 71 | 96 | 88 | 69 | 82 | 64 | Legacy | Icon
29 | Alan Shearer | England | ST | 72 | 72 | 94 | 69 | 73 | 91 | Legacy | Icon
30 | Eric Cantona | France | CF | 73 | 78 | 87 | 88 | 88 | 83 | Legacy | Icon
31 | Dennis Bergkamp | Netherlands | CF | 73 | 75 | 86 | 93 | 95 | 69 | Legacy | Icon
32 | Ruud van Nistelrooy | Netherlands | ST | 72 | 71 | 94 | 70 | 79 | 79 | Legacy | Icon
33 | Robin van Persie | Netherlands | ST | 72 | 82 | 92 | 85 | 90 | 67 | Legacy | Icon
34 | Arjen Robben | Netherlands | RW | 73 | 94 | 90 | 85 | 94 | 65 | Legacy | Icon
35 | Franck Ribéry | France | LW | 72 | 93 | 82 | 87 | 94 | 64 | Legacy | Icon
36 | Luis Figo | Portugal | RW | 73 | 88 | 84 | 93 | 94 | 70 | Legacy | Icon
37 | Gabriel Batistuta | Argentina | ST | 73 | 82 | 96 | 72 | 77 | 91 | Legacy | Icon
38 | Hernán Crespo | Argentina | ST | 71 | 79 | 93 | 69 | 78 | 78 | Legacy | Icon
39 | Javier Saviola | Argentina | CF | 67 | 86 | 79 | 73 | 87 | 55 | Legacy | Cult Icon
40 | Miroslav Klose | Germany | ST | 71 | 78 | 91 | 70 | 75 | 79 | Legacy | Icon
41 | Mario Kempes | Argentina | ST | 71 | 84 | 91 | 69 | 77 | 82 | Legacy | Icon
42 | Oleg Blokhin | Ukraine | LW | 70 | 96 | 86 | 70 | 84 | 70 | Legacy | Icon
43 | George Best | Northern Ireland | RW | 74 | 93 | 89 | 91 | 97 | 68 | Legacy | Icon
44 | Bobby Charlton | England | CAM | 73 | 82 | 92 | 89 | 85 | 74 | Legacy | Icon
45 | Kevin Keegan | England | CF | 71 | 87 | 86 | 82 | 88 | 70 | Legacy | Icon
46 | Marco van Basten | Netherlands | ST | 74 | 83 | 96 | 82 | 88 | 82 | Legacy | Icon
47 | Gerd Müller | Germany | ST | 75 | 82 | 97 | 68 | 80 | 80 | Legacy | Icon
48 | Eusébio | Portugal | ST | 75 | 97 | 96 | 79 | 92 | 78 | Legacy | Icon
49 | Johan Cruyff | Netherlands | CF | 75 | 92 | 91 | 95 | 97 | 72 | Legacy | Icon
50 | Pelé | Brazil | CF | 75 | 95 | 96 | 96 | 98 | 76 | Legacy | Icon
51 | Kylian Mbappé | France | ST | 75 | 97 | 92 | 83 | 94 | 77 | La Liga | Current
52 | Vinícius Júnior | Brazil | LW | 75 | 98 | 86 | 82 | 96 | 68 | La Liga | Current
53 | Mohamed Salah | Egypt | RW | 75 | 91 | 91 | 83 | 91 | 73 | Premier League | Current
54 | Harry Kane | England | ST | 74 | 69 | 94 | 89 | 86 | 84 | Bundesliga | Current
55 | Erling Haaland | Norway | ST | 75 | 94 | 96 | 76 | 85 | 94 | Premier League | Current
56 | Bukayo Saka | England | RW | 73 | 87 | 81 | 88 | 90 | 65 | Premier League | Current
57 | Son Heung-min | South Korea | LW | 72 | 90 | 89 | 82 | 88 | 70 | MLS | Veteran
58 | Ousmane Dembélé | France | RW | 74 | 97 | 82 | 87 | 95 | 64 | Ligue 1 | Current
59 | Raphinha | Brazil | LW | 73 | 91 | 84 | 86 | 91 | 67 | La Liga | Current
60 | Rodrygo | Brazil | RW | 72 | 90 | 80 | 85 | 91 | 61 | La Liga | Current
61 | Lautaro Martínez | Argentina | ST | 73 | 82 | 91 | 78 | 86 | 82 | Serie A | Current
62 | Rafael Leão | Portugal | LW | 72 | 95 | 83 | 78 | 93 | 75 | Serie A | Current
63 | Paulo Dybala | Argentina | CF | 71 | 79 | 84 | 90 | 94 | 59 | Serie A | Veteran
64 | Marcus Rashford | England | LW | 70 | 91 | 82 | 75 | 86 | 70 | Premier League | Current
