# | Player | Nation | Position | OVR | PAC | SHO | PAS | DRI | DEF | PHY | League/Region | Status
1 | Paolo Maldini | Italy | LB | 75 | 86 | 45 | 89 | 86 | 99 | 78 | Legacy | Icon
2 | Franco Baresi | Italy | CB | 75 | 72 | 35 | 91 | 73 | 99 | 78 | Legacy | Icon
3 | Alessandro Nesta | Italy | CB | 75 | 79 | 30 | 89 | 72 | 98 | 76 | Legacy | Icon
4 | Fabio Cannavaro | Italy | CB | 74 | 91 | 35 | 78 | 69 | 99 | 88 | Legacy | Icon
5 | Roberto Carlos | Brazil | LB | 75 | 97 | 82 | 89 | 91 | 88 | 88 | Legacy | Icon
6 | Cafu | Brazil | RB | 75 | 95 | 62 | 90 | 88 | 91 | 84 | Legacy | Icon
7 | Carlos Alberto | Brazil | RB | 74 | 91 | 59 | 88 | 87 | 92 | 84 | Legacy | Icon
8 | Dani Alves | Brazil | RB | 73 | 89 | 61 | 94 | 94 | 82 | 68 | Legacy | Icon
9 | Thiago Silva | Brazil | CB | 73 | 66 | 35 | 85 | 69 | 96 | 78 | Brazil | Veteran
10 | Lúcio | Brazil | CB | 72 | 85 | 48 | 75 | 70 | 91 | 93 | Legacy | Icon
11 | Aldair | Brazil | CB | 70 | 73 | 32 | 82 | 65 | 91 | 84 | Legacy | Icon
12 | Juan | Brazil | CB | 69 | 72 | 30 | 79 | 63 | 90 | 82 | Legacy | Icon
13 | Marcelo | Brazil | LB | 71 | 88 | 62 | 95 | 97 | 76 | 71 | Legacy | Icon
14 | Maicon | Brazil | RB | 72 | 92 | 70 | 84 | 84 | 86 | 91 | Legacy | Icon
15 | Alex Sandro | Brazil | LB | 67 | 77 | 32 | 76 | 77 | 82 | 81 | Brazil | Veteran
16 | Miranda | Brazil | CB | 67 | 67 | 25 | 71 | 58 | 91 | 82 | Legacy | Veteran
17 | Marquinhos | Brazil | CB | 73 | 82 | 30 | 88 | 78 | 94 | 74 | France | Current
18 | Éder Militão | Brazil | CB | 73 | 94 | 25 | 78 | 71 | 92 | 87 | Spain | Current
19 | Gabriel Magalhães | Brazil | CB | 71 | 70 | 25 | 68 | 57 | 93 | 91 | England | Current
20 | Bremer | Brazil | CB | 71 | 79 | 26 | 69 | 56 | 94 | 92 | Italy | Current
21 | Danilo | Brazil | RB | 68 | 71 | 43 | 76 | 72 | 84 | 80 | Brazil | Veteran
22 | Alex Telles | Brazil | LB | 64 | 77 | 44 | 78 | 78 | 70 | 65 | Brazil | Veteran
23 | Emerson Royal | Brazil | RB | 66 | 81 | 33 | 68 | 69 | 80 | 79 | Italy | Current
24 | Renan Lodi | Brazil | LB | 66 | 87 | 40 | 75 | 78 | 68 | 65 | Saudi Pro League | Current
25 | Wendell | Brazil | LB | 63 | 82 | 28 | 66 | 71 | 71 | 66 | Brazil | Veteran
26 | David Luiz | Brazil | CB | 65 | 54 | 51 | 81 | 69 | 75 | 78 | Brazil | Veteran
27 | Dante | Brazil | CB | 64 | 50 | 27 | 76 | 57 | 83 | 78 | Brazil | Veteran
28 | Naldo | Brazil | CB | 63 | 62 | 43 | 74 | 58 | 86 | 82 | Legacy | Veteran
29 | Miranda | Brazil | CB | 67 | 67 | 25 | 71 | 58 | 91 | 82 | Legacy | Veteran
30 | Felipe | Brazil | CB | 62 | 57 | 31 | 66 | 53 | 79 | 84 | Brazil | Veteran
31 | Sergio Ramos | Spain | CB | 75 | 81 | 55 | 82 | 73 | 96 | 91 | Legacy | Icon
32 | Carles Puyol | Spain | CB | 73 | 82 | 35 | 75 | 62 | 98 | 90 | Legacy | Icon
33 | Gerard Piqué | Spain | CB | 70 | 61 | 43 | 86 | 65 | 91 | 88 | Legacy | Icon
34 | Fernando Hierro | Spain | CB | 71 | 64 | 76 | 85 | 67 | 91 | 88 | Legacy | Icon
35 | Carlos Marchena | Spain | CB | 65 | 62 | 28 | 70 | 54 | 89 | 77 | Legacy | Veteran
36 | Jordi Alba | Spain | LB | 71 | 94 | 58 | 87 | 90 | 78 | 64 | Spain | Veteran
37 | Joan Capdevila | Spain | LB | 66 | 81 | 38 | 69 | 67 | 84 | 76 | Legacy | Icon
38 | César Azpilicueta | Spain | RB | 68 | 69 | 28 | 78 | 66 | 91 | 74 | Spain | Veteran
39 | Dani Carvajal | Spain | RB | 73 | 81 | 39 | 83 | 76 | 94 | 82 | Spain | Current
40 | Juanfran | Spain | RB | 67 | 83 | 29 | 77 | 70 | 88 | 77 | Legacy | Veteran
41 | Gerard Piqué | Spain | CB | 70 | 61 | 43 | 86 | 65 | 91 | 88 | Legacy | Icon
42 | Eric García | Spain | CB | 63 | 61 | 23 | 77 | 58 | 75 | 62 | Spain | Current
43 | Pau Torres | Spain | CB | 70 | 69 | 27 | 83 | 63 | 86 | 78 | England | Current
44 | Aymeric Laporte | Spain | CB | 71 | 61 | 29 | 82 | 61 | 91 | 82 | Saudi Pro League | Veteran
45 | Robin Le Normand | Spain | CB | 69 | 59 | 26 | 68 | 53 | 92 | 84 | Spain | Current
46 | Marc Cucurella | Spain | LB | 70 | 84 | 30 | 78 | 80 | 82 | 69 | England | Current
47 | Alejandro Grimaldo | Spain | LB | 71 | 84 | 50 | 91 | 88 | 76 | 59 | Germany | Current
48 | Pedro Porro | Spain | RB | 69 | 87 | 48 | 83 | 84 | 71 | 66 | England | Current
49 | Álex Baena | Spain | LB | 64 | 83 | 27 | 73 | 77 | 65 | 57 | Spain | Current
50 | Héctor Bellerín | Spain | RB | 63 | 91 | 23 | 67 | 75 | 68 | 58 | Spain | Veteran
51 | Franz Beckenbauer | Germany | CB | 75 | 83 | 55 | 97 | 91 | 96 | 81 | Legacy | Icon
52 | Philipp Lahm | Germany | RB | 75 | 91 | 38 | 94 | 91 | 97 | 68 | Legacy | Icon
