# | Player | Nation | Position | OVR | DIV | HAN | KIC | REF | SPD | POS | League/Region | Status
1 | Lev Yashin | Soviet Union | GK | 75 | 97 | 98 | 86 | 99 | 88 | 99 | Legacy | Icon
2 | Gianluigi Buffon | Italy | GK | 75 | 96 | 97 | 90 | 98 | 82 | 99 | Legacy | Icon
3 | Iker Casillas | Spain | GK | 74 | 95 | 96 | 88 | 99 | 93 | 97 | Legacy | Icon
4 | Manuel Neuer | Germany | GK | 75 | 96 | 95 | 95 | 97 | 91 | 99 | Germany | Icon
5 | Peter Schmeichel | Denmark | GK | 74 | 97 | 98 | 84 | 97 | 83 | 98 | Legacy | Icon
6 | Oliver Kahn | Germany | GK | 74 | 98 | 97 | 80 | 98 | 78 | 99 | Legacy | Icon
7 | Edwin van der Sar | Netherlands | GK | 73 | 94 | 97 | 91 | 96 | 82 | 98 | Legacy | Icon
8 | Petr Čech | Czech Republic | GK | 73 | 98 | 97 | 87 | 98 | 79 | 97 | Legacy | Icon
9 | Dino Zoff | Italy | GK | 72 | 95 | 97 | 78 | 96 | 75 | 98 | Legacy | Icon
10 | Gordon Banks | England | GK | 72 | 96 | 98 | 80 | 99 | 78 | 98 | Legacy | Icon
11 | José Luis Chilavert | Paraguay | GK | 70 | 92 | 94 | 96 | 91 | 76 | 91 | Legacy | Icon
12 | Claudio Taffarel | Brazil | GK | 70 | 91 | 95 | 88 | 94 | 79 | 95 | Legacy | Icon
13 | Dida | Brazil | GK | 70 | 94 | 95 | 84 | 95 | 76 | 96 | Legacy | Icon
14 | Walter Zenga | Italy | GK | 69 | 95 | 94 | 79 | 96 | 80 | 96 | Legacy | Icon
15 | Andoni Zubizarreta | Spain | GK | 68 | 91 | 94 | 80 | 93 | 75 | 95 | Legacy | Icon
16 | Rinat Dasayev | Soviet Union | GK | 69 | 95 | 96 | 78 | 97 | 81 | 97 | Legacy | Icon
17 | Sepp Maier | Germany | GK | 70 | 94 | 97 | 82 | 97 | 80 | 97 | Legacy | Icon
18 | Ricardo Zamora | Spain | GK | 67 | 93 | 95 | 72 | 94 | 72 | 96 | Legacy | Icon
19 | Thomas N'Kono | Cameroon | GK | 68 | 91 | 94 | 78 | 96 | 84 | 94 | Legacy | Icon
