# | Player | Nation | Position | OVR | PAC | SHO | PAS | DRI | DEF | PHY | League/Region | Status
1 | Luka Modrić | Croatia | CM | 75 | 74 | 72 | 96 | 94 | 72 | 62 | Spain | Icon/Active
2 | Xavi | Spain | CM | 75 | 68 | 70 | 98 | 96 | 68 | 57 | Legacy | Icon
3 | Andrés Iniesta | Spain | CM | 75 | 72 | 74 | 98 | 98 | 66 | 54 | Legacy | Icon
4 | Zinedine Zidane | France | CAM | 75 | 78 | 84 | 97 | 97 | 60 | 73 | Legacy | Icon
5 | Andrea Pirlo | Italy | CM | 74 | 63 | 74 | 98 | 89 | 58 | 61 | Legacy | Icon
6 | Steven Gerrard | England | CM | 74 | 79 | 91 | 91 | 85 | 77 | 82 | Legacy | Icon
7 | Frank Lampard | England | CM | 74 | 75 | 94 | 89 | 84 | 72 | 79 | Legacy | Icon
8 | Paul Scholes | England | CM | 73 | 62 | 89 | 94 | 82 | 67 | 68 | Legacy | Icon
9 | Clarence Seedorf | Netherlands | CM | 73 | 73 | 82 | 93 | 88 | 73 | 84 | Legacy | Icon
10 | Patrick Vieira | France | CDM | 74 | 76 | 71 | 87 | 78 | 91 | 94 | Legacy | Icon
11 | Claude Makélélé | France | CDM | 72 | 73 | 50 | 84 | 75 | 94 | 80 | Legacy | Icon
12 | Roy Keane | Ireland | CDM | 71 | 69 | 69 | 82 | 88 | 92 | 90 | Legacy | Icon
13 | N'Golo Kanté | France | CDM | 72 | 81 | 62 | 80 | 83 | 94 | 82 | Saudi Pro League | Veteran
14 | Toni Kroos | Germany | CM | 74 | 57 | 76 | 99 | 86 | 68 | 61 | Legacy | Icon
15 | Bastian Schweinsteiger | Germany | CM | 71 | 63 | 70 | 87 | 79 | 82 | 83 | Legacy | Icon
16 | Michael Ballack | Germany | CM | 72 | 70 | 86 | 83 | 78 | 75 | 91 | Legacy | Icon
17 | Lothar Matthäus | Germany | CM | 74 | 90 | 87 | 92 | 88 | 84 | 82 | Legacy | Icon
18 | Sócrates | Brazil | CAM | 72 | 67 | 82 | 91 | 83 | 63 | 77 | Legacy | Icon
19 | Dunga | Brazil | CDM | 69 | 67 | 57 | 86 | 67 | 91 | 82 | Legacy | Icon
20 | Kaká | Brazil | CAM | 74 | 92 | 86 | 91 | 94 | 58 | 74 | Legacy | Icon
21 | Rivaldo | Brazil | CAM | 73 | 82 | 91 | 91 | 93 | 52 | 75 | Legacy | Icon
22 | Ronaldinho | Brazil | CAM | 75 | 91 | 85 | 94 | 98 | 46 | 69 | Legacy | Icon
